ID,Age,Education,Marital_Status,Income,Recency,TotalSpend,TotalPurchases,CampaignAccepted,WebEngagement,HouseholdDependents,Segment,SegmentName,PCA1,PCA2
5524,58,Graduation,Single,58138.0,58,1617,22,0,15,0,3,Digital-Engaged,2.0821724757673716,1.1859223450931657
2174,61,Graduation,Single,46344.0,38,27,4,0,6,2,1,Low-Engagement,-1.9015012585954616,-0.5256732074421204
4141,50,Graduation,Together,71613.0,26,776,20,0,12,0,3,Digital-Engaged,1.464915072678808,0.36394442474369637
6182,31,Graduation,Together,26646.0,26,53,6,0,8,1,1,Low-Engagement,-1.7422061029991207,-0.4427077233659581
5324,34,PhD,Married,58293.0,94,422,14,0,10,1,3,Digital-Engaged,-0.05458884329075222,0.17513934436143125
7446,48,Master,Together,62513.0,16,716,20,0,12,1,3,Digital-Engaged,0.7482622835646595,0.9527791740803071
965,44,Graduation,Divorced,55635.0,34,590,17,0,13,1,3,Digital-Engaged,0.2775390013479441,1.0871554549602083
6177,30,PhD,Married,33454.0,32,169,8,0,12,1,1,Low-Engagement,-1.2758338873290593,0.5784337568249582
4855,41,PhD,Together,30351.0,19,46,5,0,12,1,1,Low-Engagement,-1.6715502505676556,0.4894760687048302
5899,65,PhD,Together,5648.0,68,49,1,1,21,2,1,Low-Engagement,-2.336379485044374,3.043980771530344
387,39,Basic,Married,7500.0,59,61,5,0,10,0,1,Low-Engagement,-1.7877456739720017,-0.5183821544243009
2125,56,Graduation,Divorced,63033.0,82,1102,15,0,5,0,2,Established Value,1.1071092800307907,-1.5508797190312533
8180,63,Master,Divorced,59354.0,53,310,12,0,12,2,3,Digital-Engaged,-0.6875669904648133,1.1766321386830232
2569,28,Graduation,Married,17323.0,38,46,4,0,9,0,1,Low-Engagement,-1.653378576149666,-0.8075318682021619
2114,69,PhD,Single,82800.0,23,1315,25,2,10,0,0,Premium High-Value,3.465624375814892,-0.08425665305678036
9736,35,Graduation,Married,41850.0,51,96,6,0,11,2,1,Low-Engagement,-1.7336668162203739,0.7661947223902369
4939,69,Graduation,Together,37760.0,20,317,11,0,11,0,1,Low-Engagement,-0.4038064347987619,-0.10491742272737346
6565,66,Master,Married,76995.0,91,1782,24,1,16,1,3,Digital-Engaged,2.8638539007816717,1.9036410915144302
2278,30,2n Cycle,Single,33812.0,86,133,6,0,8,1,1,Low-Engagement,-1.490558574233682,-0.5253950509648722
9360,33,Graduation,Married,37040.0,41,316,11,0,12,0,1,Low-Engagement,-0.40478670257460947,0.11919149122022167
5376,36,Graduation,Married,2447.0,42,1730,28,0,1,1,2,Established Value,0.736106487294701,-1.2746038522998608
1993,66,PhD,Married,58607.0,63,972,14,1,10,1,3,Digital-Engaged,0.9069123958527877,0.15187274226508157
4047,61,PhD,Married,65324.0,0,544,17,0,10,1,3,Digital-Engaged,0.4212901109901422,0.3613050028813779
